"the_geom","BoroCode","BoroName","BoroCD","CounDist","AssemDist","StSenDist","CongDist","Shelter_ID","Corner","On_Street","Cross_Stre","Longitude","Latitude","NTAName","FEMAFldz","FEMAFldT","HrcEvac"
"POINT (-73.943295 40.696135)","3","Brooklyn","303","36","56","25","7","BR0113","NE","MYRTLE AV","THROOP AV","-73.943295","40.696135","Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.952319 40.695092)","3","Brooklyn","303","36","56","25","7","BR0131","NE","MYRTLE AV","NOSTRAND AV","-73.952319","40.695092","Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.923621 40.699429)","3","Brooklyn","304","37","53","18","7","BR0140","SW","WILSON AV","DEKALB AV","-73.923621","40.699429","Bushwick (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.909371 40.691476)","3","Brooklyn","304","37","54","18","7","BR0143","SE","WILSON AV","HALSEY ST","-73.909371","40.691476","Bushwick (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.911115 40.699353)","3","Brooklyn","304","37","53","18","7","BR0155","SW","PALMETTO ST","WYCKOFF AV","-73.911115","40.699353","Bushwick (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.942323 40.700867)","3","Brooklyn","301","33","53","18","7","BR0157","SE","BROADWAY","FLUSHING AV","-73.942323","40.700867","South Williamsburg","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.87189 40.68174)","3","Brooklyn","305","37","54","18","7","BR0175","NW","ATLANTIC AV","CRESCENT ST","-73.87189","40.68174","Cypress Hills","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.94498 40.686923)","3","Brooklyn","303","36","56","25","8","BR02000","NW","GATES AV","TOMPKINS AV","-73.94498","40.686923","Bedford-Stuyvesant (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-74.018179 40.640598)","3","Brooklyn","307","38","51","17","10","BR02001","SE","60 ST","4 AV","-74.018179","40.640598","Sunset Park (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-74.009731 40.635695)","3","Brooklyn","307","43","49","17","10","BR02003","NW","60 ST","8 AV","-74.009731","40.635695","Sunset Park (Central)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.993389 40.602183)","3","Brooklyn","311","43","47","17","11","BR02005","NE","BAY PKWY","86 ST","-73.993389","40.602183","Gravesend (West)","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.995744 40.613347)","3","Brooklyn","311","43","49","17","11","BR02010","NE","BAY RIDGE PKWY","18 AV","-73.995744","40.613347","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.999659 40.615498)","3","Brooklyn","311","38","49","17","11","BR02011","SE","BAY RIDGE PKWY","NEW UTRECHT AV","-73.999659","40.615498","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-74.013562 40.610846)","3","Brooklyn","311","50","47","26","11","BR02012","SE","14 AV","BENSON AV","-74.013562","40.610846","Bath Beach","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-74.007528 40.61033)","3","Brooklyn","311","47","47","17","11","BR02013","NW","86 ST","16 AV","-74.007528","40.61033","Bath Beach","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.993747 40.602168)","3","Brooklyn","311","43","47","17","11","BR02014","NW","BAY PKWY","86 ST","-73.993747","40.602168","Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.968762 40.580004)","3","Brooklyn","313","48","46","23","8","BR02015","SW","NEPTUNE AV","OCEAN PKWY","-73.968762","40.580004","Coney Island-Sea Gate","AE",,"1"
"POINT (-73.959784 40.581814)","3","Brooklyn","313","48","45","23","8","BR02016","SE","CONEY ISLAND AV","NEPTUNE AV","-73.959784","40.581814","Brighton Beach","AE",,"1"
"POINT (-73.9608 40.591306)","3","Brooklyn","315","48","45","22","8","BR02019","SW","CONEY ISLAND AV","AV X","-73.9608","40.591306","Gravesend (South)","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.94078 40.593947)","3","Brooklyn","315","48","41","22","8","BR02020","NW","NOSTRAND AV","AV X","-73.94078","40.593947","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","X","AREA OF MINIMAL FLOOD HAZARD","2"
