"the_geom","BoroCode","BoroName","BoroCD","CounDist","AssemDist","StSenDist","CongDist","Shelter_ID","Corner","On_Street","Cross_Stre","Longitude","Latitude","NTAName","FEMAFldz","FEMAFldT","HrcEvac"
"POINT (-73.959879 40.608167)","3","Brooklyn","315","48","45","22","9","BR0608","NE","KINGS HWY","E 13 ST","-73.959879","40.608167","Gravesend (East)-Homecrest","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.95531 40.60997)","3","Brooklyn","315","48","41","22","9","BR0609","SE","KINGS HWY","E 18 ST","-73.95531","40.60997","Madison","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.949847 40.590349)","3","Brooklyn","315","48","41","22","8","BR0615","SW","OCEAN AV","AV Y","-73.949847","40.590349","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.934729 40.58417)","3","Brooklyn","315","48","41","23","8","BR0621","NW","EMMONS AV","FORD ST","-73.934729","40.58417","Sheepshead Bay-Manhattan Beach-Gerritsen Beach","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-73.972998 40.597079)","3","Brooklyn","315","44","45","17","9","BR0625","NE","AV U","MCDONALD AV","-73.972998","40.597079","Gravesend (West)","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.968983 40.590606)","3","Brooklyn","315","47","45","23","8","BR0628","SE","AV X","E 1 ST","-73.968983","40.590606","Gravesend (South)","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.947087 40.655844)","3","Brooklyn","309","40","43","20","9","BR0684","NE","NEW YORK AV","CLARKSON AV","-73.947087","40.655844","Prospect Lefferts Gardens-Wingate","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.955914 40.650183)","3","Brooklyn","314","40","42","21","9","BR0688","SW","BEDFORD AV","CHURCH  AV","-73.955914","40.650183","East Flatbush-Erasmus","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.95535 40.650488)","3","Brooklyn","317","40","42","21","9","BR0700","NW","CHURCH AV","BEDFORD AV","-73.95535","40.650488","East Flatbush-Erasmus","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.92831 40.614709)","3","Brooklyn","318","46","59","21","8","BR0743","NW","FLATBUSH AV","FILLMORE AV","-73.92831","40.614709","Marine Park-Mill Basin-Bergen Beach","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.960066 40.655493)","3","Brooklyn","314","40","43","20","9","BR9001","SW","PARKSIDE AV","FLATBUSH AV","-73.960066","40.655493","Flatbush","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.904315 40.906571)","2","Bronx","208","11","81","33","15","BX0001","SW","RIVERDALE AV","W 259 ST","-73.904315","40.906571","Riverdale-Spuyten Duyvil","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.915211 40.884342)","2","Bronx","208","11","81","33","15","BX0002","SW","Henry Hudson Pkwy West","W 232 ST","-73.915211","40.884342","Riverdale-Spuyten Duyvil","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.91686 40.878976)","2","Bronx","208","11","81","33","15","BX0003","SE","KAPPOCK ST","KNOLLS CRESCENT","-73.91686","40.878976","Riverdale-Spuyten Duyvil","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.909129 40.88114)","2","Bronx","208","11","81","31","13","BX0004","SE","W 231 ST","RIVERDALE AV","-73.909129","40.88114","Kingsbridge-Marble Hill","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.905317 40.879273)","2","Bronx","208","11","81","31","13","BX0005","NW","W 231 ST","BROADWAY","-73.905317","40.879273","Kingsbridge-Marble Hill","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.907008 40.876888)","2","Bronx","208","14","81","31","13","BX0007","SW","W 230 ST","BROADWAY","-73.907008","40.876888","Kingsbridge-Marble Hill","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.909328 40.874493)","1","Manhattan","208","10","72","31","13","BX0008","NE","W 225 ST","BROADWAY","-73.909328","40.874493","Kingsbridge-Marble Hill","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.9092 40.874775)","1","Manhattan","208","10","72","31","13","BX0009","NE","BROADWAY","W 225 ST","-73.9092","40.874775","Kingsbridge-Marble Hill","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.889061 40.882849)","2","Bronx","208","11","81","33","15","BX0011","NW","SEDGWICK AV","DICKINSON AV","-73.889061","40.882849","Kingsbridge Heights-Van Cortlandt Village","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.878799 40.881342)","2","Bronx","207","11","81","33","15","BX0012","NW","E GUN HILL RD","BAINBRIDGE AV","-73.878799","40.881342","Norwood","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.8659 40.8771)","2","Bronx","212","12","83","36","15","BX0015","SE","E GUN HILL RD","WHITE PLAINS RD","-73.8659","40.8771","Williamsbridge-Olinville","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.830535 40.871234)","2","Bronx","210","12","82","36","16","BX0018","SW","ASCH LOOP","ALCOTT PL","-73.830535","40.871234","Co-op City","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","4"
"POINT (-73.826309 40.870449)","2","Bronx","210","12","82","36","16","BX0019","SW","ASCH LOOP","COOP CITY BLVD","-73.826309","40.870449","Co-op City","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","4"
"POINT (-73.824863 40.862208)","2","Bronx","210","12","82","36","16","BX0020","NE","HUNTER AV","BOLLER AV","-73.824863","40.862208","Co-op City","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.827028 40.852433)","2","Bronx","210","13","82","34","14","BX0021","SW","Bruckner Blvd","WESTCHESTER AV","-73.827028","40.852433","Pelham Bay Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.827112 40.852171)","2","Bronx","210","13","82","34","14","BX0022","SW","Bruckner Blvd","WILKINSON AV","-73.827112","40.852171","Pelham Bay Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.82692 40.852746)","2","Bronx","210","13","82","34","14","BX0023","SW","Bruckner Blvd","WESTCHESTER AV","-73.82692","40.852746","Pelham Bay Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.827245 40.851864)","2","Bronx","210","13","82","34","14","BX0024","NW","Bruckner Blvd","WILKINSON AV","-73.827245","40.851864","Pelham Bay-Country Club-City Island","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.832078 40.846597)","2","Bronx","210","13","82","34","14","BX0025","SE","CROSBY AV","WESTCHESTER AV","-73.832078","40.846597","Pelham Bay-Country Club-City Island","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.826293 40.843199)","2","Bronx","210","13","82","34","14","BX0026","NW","Bruckner Blvd","JARVIS AV","-73.826293","40.843199","Throgs Neck-Schuylerville","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.828534 40.833336)","2","Bronx","210","13","82","34","14","BX0027","SE","E TREMONT AV","BRUCKNER BLVD","-73.828534","40.833336","Throgs Neck-Schuylerville","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.827983 40.832901)","2","Bronx","210","13","82","34","14","BX0028","NW","E TREMONT AV","BRUCKNER BLVD","-73.827983","40.832901","Throgs Neck-Schuylerville","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.866614 40.823073)","2","Bronx","209","18","85","34","14","BX0034","SE","STORY AV","ROSEDALE AV","-73.866614","40.823073","Soundview-Clason Point","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","4"
"POINT (-73.849899 40.826481)","2","Bronx","209","18","87","34","14","BX0035","SW","Castle Hill Av","BRUCKNER BLVD","-73.849899","40.826481","Castle Hill-Unionport","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.849723 40.827698)","2","Bronx","209","18","87","34","14","BX0036","NE","Bruckner Blvd","CASTLE HILL AV","-73.849723","40.827698","Castle Hill-Unionport","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.851674 40.833839)","2","Bronx","209","18","87","34","14","BX0037","SE","Castle Hill Av","WESTCHESTER AV","-73.851674","40.833839","Castle Hill-Unionport","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.86178 40.832906)","2","Bronx","209","18","87","34","14","BX0038","SW","WESTCHESTER AV","GRANT CIRCLE","-73.86178","40.832906","Castle Hill-Unionport","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.860708 40.838729)","2","Bronx","209","18","87","34","14","BX0041","NW","METROPOLITAN AV","UNION PORT RD","-73.860708","40.838729","Parkchester","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.85304 40.842618)","2","Bronx","211","13","82","34","14","BX0043","NE","E TREMONT AV","CASTLE HILL AV","-73.85304","40.842618","Morris Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.844123 40.857892)","2","Bronx","211","13","80","34","14","BX0044","NW","PELHAM PKWY","EASTCHESTER RD","-73.844123","40.857892","Morris Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.861649 40.857495)","2","Bronx","211","13","80","33","15","BX0045","NE","PELHAM PKWY","BRONXWOOD AV","-73.861649","40.857495","Morris Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.869997 40.865278)","2","Bronx","211","15","80","36","15","BX0047","SE","ALLERTON AV","Bronx Park East","-73.869997","40.865278","Allerton","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.865703 40.845214)","2","Bronx","211","13","80","33","14","BX0048","SE","MORRIS PARK AV","WHITE PLAINS RD","-73.865703","40.845214","Pelham Parkway-Van Nest","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.878767 40.839859)","2","Bronx","206","15","87","32","14","BX0049","SE","E TREMONT AV","E 177 ST","-73.878767","40.839859","West Farms","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","5"
"POINT (-73.888383 40.836882)","2","Bronx","203","17","79","32","15","BX0050","SE","BOSTON RD","SOUTHERN BLVD","-73.888383","40.836882","Crotona Park East","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.897773 40.829249)","2","Bronx","203","17","79","32","15","BX0052","SW","PROSPECT AV","E 169 ST","-73.897773","40.829249","Morrisania","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.892014 40.824126)","2","Bronx","202","17","85","32","14","BX0053","SW","SOUTHERN BLVD","WESTCHESTER AV","-73.892014","40.824126","Longwood","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.910536 40.830964)","2","Bronx","204","16","77","32","15","BX0059","NW","WEBSTER AV","E 167 ST","-73.910536","40.830964","Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.920933 40.835512)","2","Bronx","204","16","84","29","15","BX0062","SE","E 167 ST","RIVER AV","-73.920933","40.835512","Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.921583 40.835921)","2","Bronx","204","16","84","29","15","BX0063","NW","E 167 ST","RIVER AV","-73.921583","40.835921","Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.918322 40.834259)","2","Bronx","204","16","84","29","15","BX0064","SW","Grand Concourse","E 167 ST","-73.918322","40.834259","Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.904945 40.862962)","2","Bronx","207","14","78","31","13","BX0069","NW","UNIVERSITY AV","W FORDHAM RD","-73.904945","40.862962","University Heights (North)-Fordham","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.89762 40.867613)","2","Bronx","207","14","78","31","13","BX0072","SW","W KINGSBRIDGE RD","JEROME AV","-73.89762","40.867613","University Heights (North)-Fordham","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.897645 40.862326)","2","Bronx","205","14","86","33","13","BX0075","SW","E FORDHAM RD","GRAND CONCOURSE","-73.897645","40.862326","Fordham Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.897871 40.86251)","2","Bronx","207","14","78","33","13","BX0076","NW","E FORDHAM RD","E 190 ST","-73.897871","40.86251","University Heights (North)-Fordham","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.896531 40.862491)","2","Bronx","207","15","78","33","13","BX0077","NE","E FORDHAM RD","GRAND CONCOURSE","-73.896531","40.862491","University Heights (North)-Fordham","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.895047 40.861992)","2","Bronx","205","15","78","33","13","BX0078","SW","E FORDHAM RD","TIEBOUT AV","-73.895047","40.861992","Fordham Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.846597 40.877202)","2","Bronx","212","12","83","36","15","BX0089","NW","EASTCHESTER RD","BOSTON RD","-73.846597","40.877202","Eastchester-Edenwald-Baychester","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.898014 40.81474)","2","Bronx","202","17","84","32","14","BX0245","SW","SOUTHERN BLVD","E 156 ST","-73.898014","40.81474","Longwood","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.887998 40.816343)","2","Bronx","202","17","84","29","14","BX0251","NE","HUNTS POINT AV","COSTER ST","-73.887998","40.816343","Hunts Point","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.900372 40.822374)","2","Bronx","202","17","85","32","15","BX0253","NE","PROSPECT AV","E 163 ST","-73.900372","40.822374","Longwood","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.886012 40.814867)","2","Bronx","202","17","84","29","14","BX0258","NW","HUNTS POINT AV","SPOFFORD AV","-73.886012","40.814867","Hunts Point","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.889164 40.818831)","2","Bronx","202","17","85","29","14","BX0259","NW","HUNTS POINT AV","SENECA AV","-73.889164","40.818831","Hunts Point","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.91821 40.82583)","2","Bronx","204","16","79","32","15","BX0287","NE","MORRIS AV","E 161 ST","-73.91821","40.82583","Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.911548 40.843525)","2","Bronx","204","15","86","32","15","BX0293","NE","Grand Concourse","MT EDEN AV EAST","-73.911548","40.843525","Mount Eden-Claremont (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.901257 40.82024)","2","Bronx","202","17","85","32","15","BX03000","NE","PROSPECT AV","WESTCHESTER AV","-73.901257","40.82024","Longwood","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.910427 40.813636)","2","Bronx","201","8","84","29","15","BX03002","NW","E 149 ST","TRINITY AV","-73.910427","40.813636","Melrose","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.903648 40.814945)","2","Bronx","201","8","84","29","14","BX03003","SW","PROSPECT AV","E 152 ST","-73.903648","40.814945","Melrose","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.91276 40.814097)","2","Bronx","201","8","84","29","14","BX03004","SE","E 149 ST","ST ANN'S AV","-73.91276","40.814097","Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.90877 40.813059)","2","Bronx","201","8","84","29","14","BX03005","SE","E 149 ST","JACKSON AV","-73.90877","40.813059","Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.898451 40.827654)","2","Bronx","203","17","79","32","15","BX03007","SW","PROSPECT AV","HOME ST","-73.898451","40.827654","Longwood","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.904648 40.827371)","2","Bronx","203","17","79","32","15","BX03008","NE","BOSTON RD","E 166 ST","-73.904648","40.827371","Morrisania","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.916238 40.829431)","2","Bronx","204","16","77","32","15","BX03009","NE","MORRIS AV","E 165 ST","-73.916238","40.829431","Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.895787 40.816587)","2","Bronx","202","17","85","32","14","BX03013","NE","SOUTHERN BLVD","LONGWOOD AV","-73.895787","40.816587","Hunts Point","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.875149 40.834168)","2","Bronx","209","17","85","32","14","BX03015","NW","E 174 ST","HARROD AV","-73.875149","40.834168","Soundview-Bruckner-Bronx River","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.86202 40.823687)","2","Bronx","209","18","85","34","14","BX03016","SE","STORY AV","THIERIOT AV","-73.86202","40.823687","Soundview-Clason Point","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.883847 40.853679)","2","Bronx","206","15","78","33","15","BX03017","SW","CROTONA AV","E 187 ST","-73.883847","40.853679","Belmont","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.851755 40.818655)","2","Bronx","209","18","87","34","14","BX03018","NW","RANDALL AV","OLMSTEAD AV","-73.851755","40.818655","Castle Hill-Unionport","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.903721 40.852697)","2","Bronx","205","14","86","33","15","BX03021","NW","Grand Concourse","E BURNSIDE AV","-73.903721","40.852697","Mount Hope","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.90856 40.846733)","2","Bronx","205","14","86","32","15","BX03022","SE","Grand Concourse","E 175 ST","-73.90856","40.846733","Mount Hope","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.905518 40.849659)","2","Bronx","205","15","86","32","15","BX03023","NE","Grand Concourse","E TREMONT AV","-73.905518","40.849659","Mount Hope","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.894881 40.865843)","2","Bronx","207","14","78","33","13","BX03024","SW","Grand Concourse","E KINGSBRIDGE RD","-73.894881","40.865843","University Heights (North)-Fordham","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.849073 40.871737)","2","Bronx","211","12","83","36","15","BX03026","SW","E GUN HILL RD","BURKE AV","-73.849073","40.871737","Pelham Gardens","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.851623 40.850436)","2","Bronx","211","13","80","34","15","BX03027","NW","Williamsbridge Rd","MORRIS PARK AV","-73.851623","40.850436","Morris Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.833591 40.884368)","2","Bronx","212","12","83","36","16","BX03028","NE","BOSTON RD","BIVONA ST","-73.833591","40.884368","Eastchester-Edenwald-Baychester","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.845374 40.886219)","2","Bronx","212","12","83","36","16","BX03029","SE","E 229 ST","E 229 Dr South (Edenwald Ctr)","-73.845374","40.886219","Eastchester-Edenwald-Baychester","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.831424 40.887938)","2","Bronx","212","12","83","36","16","BX03030","NW","DYRE AV","LIGHT ST","-73.831424","40.887938","Eastchester-Edenwald-Baychester","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.861313 40.869454)","2","Bronx","211","12","80","36","15","BX03031","SE","Bronxwood Av","ADEE AV","-73.861313","40.869454","Allerton","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.842936 40.884716)","2","Bronx","212","12","83","36","16","BX03032","SE","E 229 ST","SCHIEFFLEIN AV","-73.842936","40.884716","Eastchester-Edenwald-Baychester","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.847007 40.901874)","2","Bronx","212","11","81","36","15","BX03033","NW","BAYCHESTER AV","E 241 ST","-73.847007","40.901874","Wakefield-Woodlawn","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.854579 40.898664)","2","Bronx","212","11","81","36","15","BX03034","NW","NEREID AV","WHITE PLAINS RD","-73.854579","40.898664","Wakefield-Woodlawn","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.894152 40.863826)","2","Bronx","207","15","78","33","13","BX03035","SE","E KINGSBRIDGE RD","E 192 ST","-73.894152","40.863826","University Heights (North)-Fordham","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.85182 40.872831)","2","Bronx","212","12","83","36","15","BX03037","NW","E GUN HILL RD","GIVAN AV","-73.85182","40.872831","Eastchester-Edenwald-Baychester","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.851401 40.872479)","2","Bronx","211","12","83","36","15","BX03038","SE","E GUN HILL RD","PEARSALL AV","-73.851401","40.872479","Pelham Gardens","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.809831 40.819669)","2","Bronx","210","13","82","34","14","BX03039","NW","Throgs Neck Expwy","PRENTISS AV","-73.809831","40.819669","Throgs Neck-Schuylerville","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.891304 40.853837)","2","Bronx","206","15","78","33","15","BX03043","SW","3 AV","E 183 ST","-73.891304","40.853837","Belmont","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.851667 40.834607)","2","Bronx","210","18","87","34","14","BX03044","NE","Castle Hill Av","WESTCHESTER AV","-73.851667","40.834607","Westchester Square","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.912354 40.841118)","2","Bronx","204","16","77","32","15","BX03045","NE","Grand Concourse","E 172 ST","-73.912354","40.841118","Mount Eden-Claremont (West)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.86604 40.821136)","2","Bronx","209","18","85","34","14","BX03046","NW","SOUNDVIEW AV","LAFAYETTE AV","-73.86604","40.821136","Soundview-Clason Point","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.887346 40.87233)","2","Bronx","207","14","78","33","13","BX03047","NE","Grand Concourse","Bedford Park Blvd","-73.887346","40.87233","Bedford Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.885387 40.869926)","2","Bronx","207","15","78","33","13","BX03048","SE","Bedford Park Blvd","BAINBRIDGE AV","-73.885387","40.869926","Bedford Park","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.902971 40.868869)","2","Bronx","207","14","78","31","13","BX03049","SE","W KINGSBRIDGE RD","SEDGWICK AV","-73.902971","40.868869","University Heights (North)-Fordham","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.896754 40.90976)","2","Bronx","208","11","81","33","15","BX03050","SW","BROADWAY","W 262 ST","-73.896754","40.90976","Riverdale-Spuyten Duyvil","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.869564 40.865482)","2","Bronx","211","12","80","36","15","BX03052","NW","ALLERTON AV","BARKER AV","-73.869564","40.865482","Allerton","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.857863 40.862896)","2","Bronx","211","13","80","36","15","BX03053","SE","Williamsbridge Rd","MACE AV","-73.857863","40.862896","Pelham Gardens","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.90142 40.838419)","2","Bronx","203","15","79","32","15","BX03054","NW","Claremont Pkwy","3 AV","-73.90142","40.838419","Claremont Village-Claremont (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.905031 40.832972)","2","Bronx","203","16","79","32","15","BX03055","NW","3 AV","E 169 ST","-73.905031","40.832972","Claremont Village-Claremont (East)","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.916617 40.829117)","2","Bronx","204","16","77","32","15","BX03057","SW","MORRIS AV","E 165 ST","-73.916617","40.829117","Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.85405 40.898452)","2","Bronx","212","11","81","36","15","BX03059","NE","NEREID AV","WHITE PLAINS RD","-73.85405","40.898452","Wakefield-Woodlawn","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.9155 40.850188)","2","Bronx","205","14","77","31","13","BX0306","SE","UNIVERSITY AV","W TREMONT AV","-73.9155","40.850188","University Heights (South)-Morris Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.84889 40.884)","2","Bronx","212","12","83","36","16","BX03060","SE","E 225 ST","LACONIA AV","-73.84889","40.884","Eastchester-Edenwald-Baychester","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.922704 40.826384)","2","Bronx","204","16","77","32","15","BX03061","SE","Grand Concourse","E 161 ST","-73.922704","40.826384","Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.914383 40.853788)","2","Bronx","205","14","86","31","13","BX03062","SE","W BURNSIDE AV","LORING PL SOUTH","-73.914383","40.853788","University Heights (South)-Morris Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.8675 40.8987)","2","Bronx","212","11","81","36","15","BX03063","SW","KATONAH AV","E 237 ST","-73.8675","40.8987","Wakefield-Woodlawn","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.910233 40.8563)","2","Bronx","205","14","86","31","13","BX03064","SW","UNIVERSITY AV","Hall Of Fame Terrace","-73.910233","40.8563","University Heights (South)-Morris Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.911226 40.854627)","2","Bronx","205","14","86","31","13","BX03065","SE","UNIVERSITY AV","W BURNSIDE AV","-73.911226","40.854627","University Heights (South)-Morris Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.918663 40.852757)","2","Bronx","205","14","86","31","13","BX03066","SE","SEDGWICK AV","W TREMONT AV","-73.918663","40.852757","University Heights (South)-Morris Heights","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.909302 40.874178)","1","Manhattan","207","10","72","31","13","BX03069","SE","W 225 ST","BROADWAY","-73.909302","40.874178","Kingsbridge-Marble Hill","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.843548 40.862481)","2","Bronx","211","13","80","36","15","BX03070","SW","EASTCHESTER RD","MACE AV","-73.843548","40.862481","Pelham Gardens","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.843297 40.863051)","2","Bronx","211","13","80","36","15","BX03071","NE","EASTCHESTER RD","MACE AV","-73.843297","40.863051","Pelham Gardens","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.8315 40.884577)","2","Bronx","212","12","83","36","16","BX03072","SE","BOSTON RD","STEENWICK AV","-73.8315","40.884577","Eastchester-Edenwald-Baychester","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.849627 40.903194)","2","Bronx","212","11","81","36","15","BX03074","NW","E 241 ST","FURMAN AV","-73.849627","40.903194","Wakefield-Woodlawn","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.848548 40.890481)","2","Bronx","212","12","83","36","15","BX03075","SE","E 233 ST","PAULDING AV","-73.848548","40.890481","Wakefield-Woodlawn","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.866469 40.895917)","2","Bronx","212","11","81","33","15","BX03076","SE","E 233 ST","KATONAH AV","-73.866469","40.895917","Woodlawn Cemetery","X","AREA OF MINIMAL FLOOD HAZARD","X"
"POINT (-73.914368 40.818755)","2","Bronx","201","17","79","29","15","BX03077","SW","3 AV","E 154 ST","-73.914368","40.818755","Melrose","X","AREA OF MINIMAL FLOOD HAZARD","6"
